chiave	testo_it	nota_contesto	en	fr	de	es	pt	ru	sq	ro	hi	pa	bn	sr	hr	tr	fa	ps	tl	pl	uk	zh	ar	ur
final_button	SALVA ED INVIA CONFERMA DATI ISCRIZIONE	Pulsante finale.	SAVE AND SEND CONFIRMATION REGISTRATION DATA	ENREGISTRER ET ENVOYER LA CONFIRMATION DES DONNÉES D'INSCRIPTION	Registrierungsdaten speichern und bestätigen	GUARDAR Y ENVIAR DATOS DE REGISTRO DE CONFIRMACIÓN	SALVAR E ENVIAR DADOS DE REGISTRO DE CONFIRMAÇÃO	СОХРАНИТЬ И ОТПРАВИТЬ ДАННЫЕ ПОДТВЕРЖДЕНИЯ РЕГИСТРАЦИИ	RUAJ DHE DËRGO TË DHËNAT E REGJISTRIMIT TË KONFIRMIMIT	SALVAȚI ȘI TRIMITEȚI DATELE DE CONFIRMARE A ÎNREGISTRARII	पंजीकरण डेटा सहेजें और भेजें	ਪੁਸ਼ਟੀਕਰਨ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਡੇਟਾ ਸੁਰੱਖਿਅਤ ਕਰੋ ਅਤੇ ਭੇਜੋ	নিশ্চিতকরণ নিবন্ধন তথ্য সংরক্ষণ ও প্রেরণ করুন	САЧУВАЈ И ПОШАЉИ ПОДАТКЕ О ПОТВРДИ РЕГИСТРАЦИЈЕ	SPREMI I POŠALJI PODATKE O POTVRDI REGISTRACIJE	KAYIT ONAY VERİLERİNİ KAYDET VE GÖNDER	ذخیره و ارسال اطلاعات ثبت نام تایید	د تایید د ثبت معلومات خوندي کړئ او واستوئ	I-SAVE AT IPADALA ANG DATOS NG PAGPAPAREHISTRO NG KUMPIRMASYON	ZAPISZ I WYŚLIJ DANE REJESTRACJI POTWIERDZENIA	ЗБЕРЕЖИТИ ТА НАДІСЛАТИ ДАНІ РЕЄСТРАЦІЇ ДЛЯ ПІДТВЕРДЖЕННЯ	保存并发送确认注册数据	حفظ وإرسال بيانات تأكيد التسجيل	محفوظ کریں اور تصدیقی رجسٹریشن ڈیٹا بھیجیں۔
sent_title	Conferma dati iscrizione già inviata.	Titolo pratica già inviata.	Confirm registration data already sent.	Confirmez que les données d'inscription ont déjà été envoyées.	Bestätigen Sie, dass die Registrierungsdaten bereits gesendet wurden.	Confirme que los datos de registro ya se han enviado.	Confirme se os dados de inscrição já foram enviados.	Подтвердите, что регистрационные данные уже отправлены.	Konfirmoni të dhënat e regjistrimit që janë dërguar tashmë.	Confirmați datele de înregistrare deja trimise.	पहले से भेजे गए पंजीकरण डेटा की पुष्टि करें।	ਪਹਿਲਾਂ ਹੀ ਭੇਜੇ ਗਏ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਡੇਟਾ ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ।	নিবন্ধনের তথ্য পাঠানো হয়েছে বলে নিশ্চিত করুন।	Потврдите да су подаци за регистрацију већ послати.	Potvrdite da su podaci za registraciju već poslani.	Kayıt verilerinin zaten gönderildiğini onaylayın.	اطلاعات ثبت نام که قبلاً ارسال شده است را تأیید کنید.	د راجسټریشن معلومات دمخه لیږل شوي تایید کړئ.	Kumpirmahin na naipadala na ang datos ng pagpaparehistro.	Potwierdź, że dane rejestracyjne zostały już wysłane.	Підтвердіть, що реєстраційні дані вже надіслані.	确认注册数据已发送。	تأكيد إرسال بيانات التسجيل مسبقاً.	تصدیق کریں کہ رجسٹریشن ڈیٹا پہلے ہی بھیج دیا گیا ہے۔
sent_text	Non serve fare altro da questa pagina. La segreteria didattica ha ricevuto la pratica e potrà verificare i documenti caricati o indicati come consegna cartacea.	Testo pratica già inviata.	There's nothing else you need to do from this page. The academic office has received your application and will be able to verify the documents uploaded or indicated as paper submissions.	Vous n'avez plus rien à faire sur cette page. Le service des affaires académiques a bien reçu votre candidature et pourra vérifier les documents téléchargés ou indiqués comme documents papier.	Sie müssen auf dieser Seite nichts weiter tun. Das Studienbüro hat Ihre Bewerbung erhalten und kann die hochgeladenen oder als Papierunterlagen gekennzeichneten Dokumente überprüfen.	No es necesario que hagas nada más desde esta página. La oficina académica ha recibido tu solicitud y podrá verificar los documentos que subiste o que indicaste como documentos impresos.	Não precisa fazer mais nada nesta página. A secretaria acadêmica recebeu sua inscrição e poderá verificar os documentos enviados ou indicados como documentos em papel.	На этой странице вам больше ничего не нужно делать. Академический отдел получил вашу заявку и сможет проверить загруженные документы или документы, указанные как бумажные.	Nuk ka asgjë tjetër që duhet të bëni nga kjo faqe. Zyra akademike e ka marrë aplikimin tuaj dhe do të jetë në gjendje të verifikojë dokumentet e ngarkuara ose të treguara si dorëzime dokumentesh.	Nu trebuie să faceți nimic altceva de pe această pagină. Biroul academic a primit cererea dvs. și va putea verifica documentele încărcate sau indicate ca lucrări trimise.	इस पेज से आपको और कुछ करने की आवश्यकता नहीं है। अकादमिक कार्यालय को आपका आवेदन प्राप्त हो चुका है और वे अपलोड किए गए या लिखित रूप में प्रस्तुत किए गए दस्तावेजों का सत्यापन कर सकेंगे।	ਇਸ ਪੰਨੇ ਤੋਂ ਤੁਹਾਨੂੰ ਹੋਰ ਕੁਝ ਕਰਨ ਦੀ ਲੋੜ ਨਹੀਂ ਹੈ। ਅਕਾਦਮਿਕ ਦਫ਼ਤਰ ਨੂੰ ਤੁਹਾਡੀ ਅਰਜ਼ੀ ਪ੍ਰਾਪਤ ਹੋ ਗਈ ਹੈ ਅਤੇ ਉਹ ਅੱਪਲੋਡ ਕੀਤੇ ਗਏ ਜਾਂ ਪੇਪਰ ਸਬਮਿਸ਼ਨ ਵਜੋਂ ਦਰਸਾਏ ਗਏ ਦਸਤਾਵੇਜ਼ਾਂ ਦੀ ਪੁਸ਼ਟੀ ਕਰਨ ਦੇ ਯੋਗ ਹੋਵੇਗਾ।	এই পৃষ্ঠা থেকে আপনার আর কিছু করার প্রয়োজন নেই। একাডেমিক অফিস আপনার আবেদনপত্রটি গ্রহণ করেছে এবং আপলোড করা বা লিখিত জমা হিসাবে উল্লিখিত নথিগুলি যাচাই করতে পারবে।	Не треба ништа више да урадите са ове странице. Академска канцеларија је примила вашу пријаву и моћи ће да провери документа која су отпремљена или означена као радови.	Na ovoj stranici ne trebate ništa više učiniti. Akademski ured je primio vašu prijavu i moći će provjeriti dokumente koji su preneseni ili označeni kao predani radovi.	Bu sayfadan sonra yapmanız gereken başka bir şey yok. Akademik ofis başvurunuzu aldı ve yüklediğiniz veya kağıt olarak sunduğunuz belgeleri doğrulayabilecektir.	کار دیگری از این صفحه لازم نیست انجام دهید. دفتر دانشگاهی درخواست شما را دریافت کرده و می‌تواند مدارک آپلود شده یا مدارکی که به عنوان مقاله ارسال شده‌اند را تأیید کند.	له دې پاڼې څخه بل څه کولو ته اړتیا نشته. اکاډمیک دفتر ستاسو غوښتنلیک ترلاسه کړی او کولی شي هغه اسناد تایید کړي چې اپلوډ شوي یا د کاغذ سپارلو په توګه ښودل شوي.	Wala ka nang ibang kailangang gawin mula sa pahinang ito. Natanggap na ng opisina ng akademiko ang iyong aplikasyon at mabeberipika na nila ang mga dokumentong na-upload o ipinahiwatig bilang mga isinumiteng papel.	Na tej stronie nie musisz nic więcej robić. Dziekanat otrzymał Twój wniosek i będzie mógł zweryfikować przesłane dokumenty lub zgłoszenia w wersji papierowej.	Вам більше нічого не потрібно робити на цій сторінці. Академічний відділ отримав вашу заявку та зможе перевірити документи, завантажені або позначені як подані документи.	您无需在此页面进行任何其他操作。教务处已收到您的申请，并将核实您上传的文件或您注明的纸质提交材料。	لا يلزمك القيام بأي شيء آخر من هذه الصفحة. لقد استلم المكتب الأكاديمي طلبك وسيتمكن من التحقق من المستندات التي تم تحميلها أو التي تم تحديدها كمستندات ورقية.	اس صفحہ سے آپ کو اور کچھ کرنے کی ضرورت نہیں ہے۔ اکیڈمک آفس کو آپ کی درخواست موصول ہو گئی ہے اور وہ کاغذی گذارشات کے بطور اپ لوڈ کردہ یا اشارہ کردہ دستاویزات کی تصدیق کر سکے گا۔
photo_editor_title	Sistema foto	Titolo editor foto.	Photo system	Système photo	Fotosystem	Sistema fotográfico	Sistema fotográfico	Фотосистема	Sistemi i fotove	Sistem foto	फोटो सिस्टम	ਫੋਟੋ ਸਿਸਟਮ	ফটো সিস্টেম	Фото систем	Foto sustav	Fotoğraf sistemi	سیستم عکس	د عکس سیسټم	Sistema ng litrato	System fotograficzny	Фотосистема	照片系统	نظام التصوير	فوٹو سسٹم
photo_editor_help	Sposta i quattro punti blu sui vertici del documento. Con due dita puoi ruotare la foto; poi premi Conferma foto.	Aiuto editor foto.	Move the four blue dots to the corners of the document. You can rotate the photo with two fingers; then press Confirm Photo.	Déplacez les quatre points bleus aux coins du document. Vous pouvez faire pivoter la photo avec deux doigts ; puis appuyez sur « Confirmer la photo ».	Verschieben Sie die vier blauen Punkte in die Ecken des Dokuments. Sie können das Foto mit zwei Fingern drehen; tippen Sie anschließend auf „Foto bestätigen“.	Mueva los cuatro puntos azules a las esquinas del documento. Puede girar la foto con dos dedos; luego, pulse Confirmar foto.	Mova os quatro pontos azuis para os cantos do documento. Você pode girar a foto com dois dedos; em seguida, pressione Confirmar Foto.	Переместите четыре синие точки в углы документа. Вы можете повернуть фотографию двумя пальцами, затем нажмите «Подтвердить фото».	Zhvendosni katër pikat blu në cepat e dokumentit. Mund ta rrotulloni foton me dy gishta; pastaj shtypni Konfirmo foton.	Mută ​​cele patru puncte albastre în colțurile documentului. Poți roti fotografia cu două degete; apoi apasă Confirmare fotografie.	चारों नीले बिंदुओं को दस्तावेज़ के कोनों पर ले जाएं। आप दो उंगलियों से फोटो को घुमा सकते हैं; फिर 'फोटो की पुष्टि करें' बटन दबाएं।	ਚਾਰ ਨੀਲੇ ਬਿੰਦੀਆਂ ਨੂੰ ਦਸਤਾਵੇਜ਼ ਦੇ ਕੋਨਿਆਂ 'ਤੇ ਲੈ ਜਾਓ। ਤੁਸੀਂ ਦੋ ਉਂਗਲਾਂ ਨਾਲ ਫੋਟੋ ਨੂੰ ਘੁੰਮਾ ਸਕਦੇ ਹੋ; ਫਿਰ ਪੁਸ਼ਟੀ ਕਰੋ ਫੋਟੋ ਦਬਾਓ।	চারটি নীল বিন্দুকে ডকুমেন্টের কোণায় নিয়ে যান। আপনি দুটি আঙুল দিয়ে ছবিটি ঘোরাতে পারেন; তারপর ‘Confirm Photo’ চাপুন।	Померите четири плаве тачке у углове документа. Можете ротирати фотографију са два прста; затим притисните Потврди фотографију.	Pomaknite četiri plave točke u kutove dokumenta. Fotografiju možete rotirati s dva prsta; zatim pritisnite Potvrdi fotografiju.	Dört mavi noktayı belgenin köşelerine taşıyın. Fotoğrafı iki parmağınızla döndürebilirsiniz; ardından Fotoğrafı Onayla'ya basın.	چهار نقطه آبی را به گوشه‌های سند منتقل کنید. می‌توانید عکس را با دو انگشت بچرخانید؛ سپس تأیید عکس را فشار دهید.	څلور نیلي نقطې د سند کونجونو ته واستوئ. تاسو کولی شئ عکس د دوو ګوتو سره وګرځوئ؛ بیا د عکس تایید فشار ورکړئ.	Ilipat ang apat na asul na tuldok papunta sa mga sulok ng dokumento. Maaari mong paikutin ang larawan gamit ang dalawang daliri; pagkatapos ay pindutin ang Kumpirmahin ang Larawan.	Przesuń cztery niebieskie kropki do rogów dokumentu. Możesz obrócić zdjęcie dwoma palcami; następnie naciśnij „Potwierdź zdjęcie”.	Перемістіть чотири сині крапки в кути документа. Ви можете повернути фотографію двома пальцями; потім натисніть «Підтвердити фотографію».	将四个蓝色圆点移动到文档的四个角上。您可以用两根手指旋转照片；然后点击“确认照片”。	انقل النقاط الزرقاء الأربع إلى زوايا المستند. يمكنك تدوير الصورة بإصبعين، ثم اضغط على "تأكيد الصورة".	چار نیلے نقطوں کو دستاویز کے کونوں میں منتقل کریں۔ آپ تصویر کو دو انگلیوں سے گھما سکتے ہیں۔ پھر کنفرم فوٹو کو دبائیں۔
rotate_left	Ruota -90	Pulsante editor foto.	Wheel -90	Roue -90	Rad -90	Rueda -90	Roda -90	Колесо -90	Rrota -90	Roată -90	पहिया -90	ਪਹੀਆ -90	চাকা -৯০	Точак -90	Kotač -90	Tekerlek -90	چرخ -۹۰	څرخ -۹۰	Gulong -90	Koło -90	Колесо -90	车轮 -90	عجلة -90	وہیل -90
rotate_right	Ruota +90	Pulsante editor foto.	Rotate +90	Rotation de +90	Drehung um +90	Rotar +90	Girar +90	Повернуть на +90	Rrotullo +90	Rotire +90	+90 घुमाएँ	ਘੁੰਮਾਓ +90	+90 ঘোরান	Ротирај +90	Rotiranje za +90	+90 derece döndür	چرخش +۹۰	+۹۰ وګرځوئ	I-rotate +90	Obróć o +90	Повернути на +90	旋转 +90 度	أدر +90	+90 گھمائیں۔
fine_rotation	Rotazione fine	Etichetta cursore editor foto.	Fine rotation	Rotation fine	Feinrotation	Rotación fina	Rotação fina	Точное вращение	Rrotullim i imët	Rotație fină	महीन घुमाव	ਵਧੀਆ ਘੁੰਮਾਓ	সূক্ষ্ম ঘূর্ণন	Фина ротација	Fina rotacija	İnce ayar	چرخش دقیق	ښه گردش	Pinong pag-ikot	Drobny obrót	Точне обертання	精细旋转	دوران دقيق	ٹھیک گردش
apply_rotation	Applica rotazione	Pulsante editor foto.	Apply rotation	Appliquer la rotation	Rotation anwenden	Aplicar rotación	Aplicar rotação	Применить вращение	Zbato rrotullimin	Aplicați rotația	घुमाव लागू करें	ਘੁੰਮਾਓ ਲਾਗੂ ਕਰੋ	ঘূর্ণন প্রয়োগ করুন	Примени ротацију	Primijeni rotaciju	Döndürme uygulayın	چرخش را اعمال کنید	گردش تطبیق کړئ	Ilapat ang pag-ikot	Zastosuj obrót	Застосувати обертання	应用旋转	قم بتطبيق الدوران	گردش کا اطلاق کریں۔
reset	Ripristina	Pulsante editor foto.	Restore	Restaurer	Wiederherstellen	Restaurar	Restaurar	Восстановить	Rivendos	Restabili	पुनर्स्थापित करना	ਰੀਸਟੋਰ ਕਰੋ	পুনরুদ্ধার করুন	Врати	Vratiti	Eski haline getirmek	بازیابی	بیا رغونه	Ibalik	Przywrócić	Відновити	恢复	يعيد	بحال کریں۔
confirm_photo	Conferma foto	Pulsante editor foto.	Confirm photo	Confirmer la photo	Foto bestätigen	Confirmar foto	Confirmar foto	Подтвердить фото	Konfirmo foton	Confirmă fotografia	फोटो की पुष्टि करें	ਫੋਟੋ ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ	ছবি নিশ্চিত করুন	Потврди фотографију	Potvrdi fotografiju	Fotoğrafı onaylayın	عکس را تأیید کنید	عکس تایید کړئ	Kumpirmahin ang larawan	Potwierdź zdjęcie	Підтвердити фото	确认照片	تأكيد الصور	تصویر کی تصدیق کریں۔
cancel	Annulla	Pulsante generico.	Cancel	Annuler	Stornieren	Cancelar	Cancelar	Отмена	Anulo	Anula	रद्द करना	ਰੱਦ ਕਰੋ	বাতিল করুন	Откажи	Otkazati	İptal etmek	لغو	لغوه کول	Kanselahin	Anulować	Скасувати	取消	يلغي	منسوخ کریں۔
busy	Elaborazione in corso...	Messaggio di attesa.	Processing in progress...	Traitement en cours...	Verarbeitung läuft...	Procesamiento en curso...	Processamento em andamento...	Обработка данных продолжается...	Përpunimi është në vazhdim...	Procesare în curs...	प्रक्रिया जारी है...	ਪ੍ਰਕਿਰਿਆ ਜਾਰੀ ਹੈ...	প্রক্রিয়া চলছে...	Обрада у току...	Obrada u tijeku...	İşlem devam ediyor...	در حال پردازش...	پروسس روان دی...	Kasalukuyang pinoproseso...	Przetwarzanie w toku...	Триває обробка...	正在处理中……	جارٍ المعالجة...	پروسیسنگ جاری ہے...
success_title	Conferma inviata	Titolo messaggio successo.	Confirmation sent	Confirmation envoyée	Bestätigung gesendet	Confirmación enviada	Confirmação enviada	Подтверждение отправлено.	Konfirmimi u dërgua	Confirmare trimisă	पुष्टि भेज दी गई	ਪੁਸ਼ਟੀ ਭੇਜੀ ਗਈ	নিশ্চিতকরণ পাঠানো হয়েছে	Потврда је послата	Potvrda poslana	Onay gönderildi	تاییدیه ارسال شد	تایید واستول شو	Napadala na ang kumpirmasyon	Potwierdzenie wysłane	Підтвердження надіслано	已发送确认信息	تم إرسال التأكيد	تصدیق بھیج دی گئی۔
success_main	I dati dell'iscrizione sono stati salvati e inviati correttamente.	Messaggio successo.	Your registration data has been saved and sent successfully.	Vos données d'inscription ont été enregistrées et envoyées avec succès.	Ihre Registrierungsdaten wurden erfolgreich gespeichert und übermittelt.	Sus datos de registro se han guardado y enviado correctamente.	Seus dados de cadastro foram salvos e enviados com sucesso.	Ваши регистрационные данные успешно сохранены и отправлены.	Të dhënat tuaja të regjistrimit janë ruajtur dhe dërguar me sukses.	Datele dumneavoastră de înregistrare au fost salvate și trimise cu succes.	आपका पंजीकरण डेटा सफलतापूर्वक सहेज लिया गया है और भेज दिया गया है।	ਤੁਹਾਡਾ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਡੇਟਾ ਸੁਰੱਖਿਅਤ ਕਰ ਲਿਆ ਗਿਆ ਹੈ ਅਤੇ ਸਫਲਤਾਪੂਰਵਕ ਭੇਜਿਆ ਗਿਆ ਹੈ।	আপনার নিবন্ধনের তথ্য সফলভাবে সংরক্ষণ ও প্রেরণ করা হয়েছে।	Ваши регистрациони подаци су сачувани и успешно послати.	Vaši registracijski podaci su uspješno spremljeni i poslani.	Kayıt bilgileriniz başarıyla kaydedildi ve gönderildi.	اطلاعات ثبت نام شما ذخیره و با موفقیت ارسال شد.	ستاسو د راجسټریشن معلومات خوندي شوي او په بریالیتوب سره لیږل شوي دي.	Ang iyong datos sa pagpaparehistro ay nai-save at matagumpay na naipadala.	Twoje dane rejestracyjne zostały zapisane i pomyślnie wysłane.	Ваші реєстраційні дані успішно збережено та надіслано.	您的注册信息已保存并成功发送。	تم حفظ بيانات التسجيل الخاصة بك وإرسالها بنجاح.	آپ کا رجسٹریشن ڈیٹا محفوظ اور کامیابی سے بھیج دیا گیا ہے۔
success_text_1	La segreteria didattica riceverà la conferma e potrà verificare i documenti caricati o indicati come consegna cartacea.	Messaggio successo.	The academic office will receive confirmation and will be able to verify the documents uploaded or indicated as paper submissions.	Le bureau des affaires académiques recevra une confirmation et pourra vérifier les documents téléchargés ou indiqués comme soumissions papier.	Das akademische Büro erhält eine Bestätigung und kann die hochgeladenen oder als Papierdokumente gekennzeichneten Unterlagen überprüfen.	La oficina académica recibirá la confirmación y podrá verificar los documentos cargados o indicados como entregas en papel.	A secretaria acadêmica receberá a confirmação e poderá verificar os documentos enviados ou indicados como trabalhos em papel.	Академический отдел получит подтверждение и сможет проверить загруженные документы или документы, указанные как бумажные.	Zyra akademike do të marrë konfirmim dhe do të jetë në gjendje të verifikojë dokumentet e ngarkuara ose të treguara si dorëzime dokumentesh.	Secretariatul academic va primi confirmarea și va putea verifica documentele încărcate sau indicate ca lucrări trimise.	शैक्षणिक कार्यालय को पुष्टि प्राप्त हो जाएगी और वह अपलोड किए गए दस्तावेजों या प्रस्तुत किए गए दस्तावेजों का सत्यापन कर सकेगा।	ਅਕਾਦਮਿਕ ਦਫ਼ਤਰ ਨੂੰ ਪੁਸ਼ਟੀ ਪ੍ਰਾਪਤ ਹੋਵੇਗੀ ਅਤੇ ਉਹ ਅੱਪਲੋਡ ਕੀਤੇ ਗਏ ਜਾਂ ਪੇਪਰ ਸਬਮਿਸ਼ਨ ਵਜੋਂ ਦਰਸਾਏ ਗਏ ਦਸਤਾਵੇਜ਼ਾਂ ਦੀ ਪੁਸ਼ਟੀ ਕਰਨ ਦੇ ਯੋਗ ਹੋਵੇਗਾ।	একাডেমিক অফিস নিশ্চিতকরণ বার্তা পাবে এবং আপলোড করা বা পেপার জমা হিসাবে চিহ্নিত নথিগুলো যাচাই করতে পারবে।	Академска канцеларија ће добити потврду и моћи ће да верификује документа отпремљена или означена као поднети радови.	Akademski ured će dobiti potvrdu i moći će provjeriti dokumente koji su preneseni ili označeni kao predani radovi.	Akademik ofis, onay aldıktan sonra yüklenen veya kağıt teslim olarak belirtilen belgeleri doğrulayabilecektir.	دفتر دانشگاهی تأییدیه را دریافت خواهد کرد و می‌تواند مدارک آپلود شده یا مشخص شده به عنوان مقاله را تأیید کند.	اکاډمیک دفتر به تایید ترلاسه کړي او وکولی شي هغه اسناد تایید کړي چې اپلوډ شوي یا د کاغذ سپارلو په توګه ښودل شوي.	Makakatanggap ang opisina ng akademiko ng kumpirmasyon at mabeberipika ang mga dokumentong na-upload o ipinahiwatig bilang mga isinumiteng papel.	Sekretariat wydziału otrzyma potwierdzenie i będzie mógł zweryfikować przesłane dokumenty lub zgłoszone jako prace pisemne.	Академічний відділ отримає підтвердження та зможе перевірити документи, завантажені або позначені як подані документи.	教务处将收到确认信息，并能够核实上传的文件或标明为纸质提交的文件。	سيتلقى المكتب الأكاديمي تأكيدًا وسيكون قادرًا على التحقق من المستندات التي تم تحميلها أو الإشارة إليها على أنها مستندات ورقية.	اکیڈمک آفس تصدیق حاصل کرے گا اور کاغذات جمع کرنے کے طور پر اپ لوڈ کردہ یا اشارہ کردہ دستاویزات کی تصدیق کر سکے گا۔
success_text_2	Una mail di conferma viene inviata agli indirizzi indicati, se l'invio mail è configurato correttamente.	Messaggio successo.	A confirmation email will be sent to the addresses you provide if email delivery is configured correctly.	Un courriel de confirmation sera envoyé aux adresses que vous avez fournies si la distribution des courriels est correctement configurée.	Wenn die E-Mail-Zustellung korrekt konfiguriert ist, wird eine Bestätigungs-E-Mail an die von Ihnen angegebenen Adressen gesendet.	Si la configuración de envío de correo electrónico es correcta, se enviará un correo electrónico de confirmación a las direcciones que proporcione.	Um e-mail de confirmação será enviado para os endereços que você fornecer, caso a entrega de e-mails esteja configurada corretamente.	Если настройка доставки электронной почты выполнена правильно, на указанные вами адреса будет отправлено письмо с подтверждением.	Një email konfirmimi do të dërgohet në adresat që jepni nëse dërgimi i email-it është konfiguruar saktë.	Un e-mail de confirmare va fi trimis la adresele pe care le furnizați dacă livrarea e-mailurilor este configurată corect.	यदि ईमेल डिलीवरी सही ढंग से कॉन्फ़िगर की गई है, तो आपके द्वारा प्रदान किए गए पतों पर एक पुष्टिकरण ईमेल भेजा जाएगा।	ਜੇਕਰ ਈਮੇਲ ਡਿਲੀਵਰੀ ਸਹੀ ਢੰਗ ਨਾਲ ਕੌਂਫਿਗਰ ਕੀਤੀ ਗਈ ਹੈ, ਤਾਂ ਤੁਹਾਡੇ ਦੁਆਰਾ ਪ੍ਰਦਾਨ ਕੀਤੇ ਗਏ ਪਤਿਆਂ 'ਤੇ ਇੱਕ ਪੁਸ਼ਟੀਕਰਨ ਈਮੇਲ ਭੇਜੀ ਜਾਵੇਗੀ।	ইমেল ডেলিভারি সঠিকভাবে কনফিগার করা থাকলে, আপনার দেওয়া ঠিকানাগুলিতে একটি নিশ্চিতকরণ ইমেল পাঠানো হবে।	Потврдни имејл ће бити послат на адресе које наведете ако је достава имејлова правилно конфигурисана.	E-poruka s potvrdom bit će poslana na adrese koje navedete ako je dostava e-pošte ispravno konfigurirana.	E-posta gönderimi doğru şekilde yapılandırılmışsa, verdiğiniz adreslere bir onay e-postası gönderilecektir.	اگر ارسال ایمیل به درستی پیکربندی شده باشد، یک ایمیل تأیید به آدرس‌هایی که ارائه می‌دهید ارسال خواهد شد.	که چیرې د برېښنالیک لېږد په سمه توګه تنظیم شوی وي، نو د تایید برېښنالیک به ستاسو لخوا چمتو شوي پتو ته واستول شي.	Isang email ng kumpirmasyon ang ipapadala sa mga adres na iyong ibinigay kung ang paghahatid ng email ay na-configure nang tama.	Jeśli dostarczanie wiadomości e-mail zostanie skonfigurowane prawidłowo, na podane adresy zostanie wysłana wiadomość e-mail z potwierdzeniem.	Якщо доставку електронної пошти налаштовано правильно, на вказані вами адреси буде надіслано електронний лист із підтвердженням.	如果电子邮件发送设置正确，我们将向您提供的地址发送确认邮件。	سيتم إرسال بريد إلكتروني للتأكيد إلى العناوين التي تقدمها إذا تم تكوين خدمة إرسال البريد الإلكتروني بشكل صحيح.	ایک تصدیقی ای میل آپ کے فراہم کردہ پتوں پر بھیجی جائے گی اگر ای میل کی ترسیل درست طریقے سے ترتیب دی گئی ہے۔
ok_understood	Ho capito	Pulsante chiusura.	I understand	Je comprends	Ich verstehe	Entiendo	Eu entendo	Я понимаю	Unë e kuptoj	Am înțeles	मैं समझता हूँ	ਮੈਂ ਸੱਮਝਦਾ ਹਾਂ	আমি বুঝতে পারছি	Разумем	Razumijem	Anladım	من می‌فهمم.	زه پوهیږم	Naiintindihan ko	Rozumiem	Я розумію	我明白	أفهم	میں سمجھتا ہوں۔
error_title	Manca un passaggio	Titolo errore.	There's a step missing	Il manque une étape.	Ein Schritt fehlt	Falta un paso	Falta um passo	Пропущен один шаг	Mungon një hap	Lipsește un pas	एक चरण छूट गया है	ਇੱਕ ਕਦਮ ਗੁੰਮ ਹੈ।	একটি ধাপ বাদ পড়েছে	Недостаје један корак	Nedostaje jedan korak	Bir adım eksik.	یک مرحله کم است	یو ګام ورک دی	May kulang na hakbang	Brakuje kroku	Бракує кроку	少了一步。	هناك خطوة مفقودة	ایک قدم غائب ہے۔
error_main	Prima di inviare devi completare i dati richiesti.	Messaggio errore.	Before submitting you must complete the required data.	Avant de soumettre votre candidature, vous devez compléter les données requises.	Vor dem Absenden müssen Sie die erforderlichen Daten vervollständigen.	Antes de enviar el formulario, debe completar los datos requeridos.	Antes de enviar, você deve preencher os dados solicitados.	Перед отправкой необходимо заполнить все необходимые данные.	Para se të dorëzoni, duhet të plotësoni të dhënat e kërkuara.	Înainte de trimitere, trebuie să completați datele solicitate.	सबमिट करने से पहले आपको आवश्यक जानकारी पूरी करनी होगी।	ਜਮ੍ਹਾਂ ਕਰਨ ਤੋਂ ਪਹਿਲਾਂ ਤੁਹਾਨੂੰ ਲੋੜੀਂਦਾ ਡੇਟਾ ਪੂਰਾ ਕਰਨਾ ਪਵੇਗਾ।	জমা দেওয়ার আগে আপনাকে প্রয়োজনীয় তথ্যগুলো অবশ্যই পূরণ করতে হবে।	Пре слања морате попунити потребне податке.	Prije slanja morate ispuniti tražene podatke.	Göndermeden önce gerekli bilgileri eksiksiz doldurmalısınız.	قبل از ارسال، باید اطلاعات مورد نیاز را تکمیل کنید.	د سپارلو دمخه تاسو باید اړین معلومات بشپړ کړئ.	Bago magsumite, dapat mong kumpletuhin ang mga kinakailangang datos.	Przed wysłaniem musisz uzupełnić wymagane dane.	Перед надсиланням необхідно заповнити необхідні дані.	提交前，您必须填写完整所需数据。	قبل الإرسال، يجب عليك إكمال البيانات المطلوبة.	جمع کرانے سے پہلے آپ کو مطلوبہ ڈیٹا مکمل کرنا ہوگا۔
